source,target
575522,134051
746731,134051
174752,135740
861687,137904
932665,137904
335,138071
762500,138071
294197,138271
597965,138271
751604,138271
17387,139212
215058,139212
203695,147316
797431,147316
83194,147468
37730,147785
152023,147785
184043,147785
335747,147785
383889,147785
138271,148227
158656,148227
251033,148227
664346,148227
414889,148355
165294,149840
36468,151504
39013,151504
184043,151504
585574,151504
665908,151504
757342,151504
771905,151504
852688,151504
37730,152023
17387,154297
50251,154297
169795,154297
239827,154297
784814,154297
219966,155091
561105,155091
37730,156484
626463,156484
290502,158018
240665,158540
39013,158656
223197,158656
243008,158656
480086,158656
583618,158656
589630,158656
766078,158656
852688,158656
96977,159655
561105,159655
22348,162487
94764,162943
414889,163059
943827,163059
21578,164175
780258,165077
184043,165652
128495,166291
169795,166505
758208,166505
789340,166505
863790,167320
124492,168126
162197,168126
163570,168126
174752,168126
80780,169795
225930,169795
240665,169795
36468,170879
39013,170879
97786,170879
184043,170879
213921,170879
243008,170879
255704,170879
305363,170879
583618,170879
636394,170879
757342,170879
766078,170879
771905,170879
850693,170879
852688,170879
855836,170879
885375,170879
326249,171854
451296,172167
954964,172205
28432,172582
96576,172582
863102,172582
128495,174198
96977,175379
298225,175379
561105,175379
607053,175379
779670,175379
781350,175379
787702,175379
50251,175459
863790,175459
961234,175459
99449,175525
326249,175525
97491,175579
112789,175579
184043,175579
485135,175579
772745,175579
790820,175579
39013,175992
255704,175992
636394,175992
654543,175992
932665,176256
50493,177336
87922,177336
219966,177336
771792,177336
831215,177454
112789,178799
626463,178799
790820,178799
751604,180023
290502,181719
790820,181719
214593,182302
792733,182302
781766,184471
5501,185018
852688,185018
131038,185383
26193,185591
326249,185591
746731,185591
863102,185591
112789,186440
668127,186440
772745,186440
766078,187422
751604,188190
780258,193305
28432,194246
831215,194246
80780,199917
932665,199917
740833,201668
83194,201983
159433,201983
765595,201983
792018,201983
335,205442
636394,205838
775877,207290
922911,207290
393345,209019
219966,211095
326249,211095
521851,211095
664346,211095
852688,211095
859509,211095
885375,211095
162197,211578
326249,211578
193342,214580
687561,214593
254215,215296
381371,215296
480086,215296
803009,215296
80780,217344
169795,217344
758208,217344
8549,217641
126782,217641
660053,217641
792733,217641
803009,217641
922911,217641
574143,218473
163420,219428
485135,219428
112789,219966
781766,219966
128495,221059
162197,221059
169795,221059
221844,221059
675710,221059
932665,221059
961234,221059
301619,221803
860080,222153
255704,223197
21578,223523
746731,223523
149840,223861
797431,223861
8828,224345
162197,224925
240665,224925
675710,224925
687561,224925
393345,227697
954964,227697
626463,230244
37730,232598
270667,232598
480830,233136
808336,233136
951375,233136
240665,233147
290853,233147
326249,233147
687561,233147
792733,233147
758208,237205
524522,238686
128495,239827
214593,239827
383889,239827
675710,239827
687561,239827
792733,239827
926237,239827
936095,239827
961234,239827
746731,241650
831215,241650
37730,242211
50251,242211
112789,242211
485135,242211
326249,242578
568137,242578
426564,245250
8549,246032
740833,246169
860080,247699
221445,249528
17387,251033
147316,253137
287407,253657
312890,253657
317865,253657
628467,253657
673933,253657
780258,253657
740833,254215
184043,254411
213921,254411
243008,254411
316611,254411
574102,254411
589630,254411
766078,254411
812711,254411
855836,254411
305363,256951
574102,256951
583618,256951
771905,256951
852688,256951
255704,258567
626463,261087
37730,262794
37730,263271
782768,263271
301619,264430
166291,264499
524522,264499
961234,264499
312890,266063
8828,272563
83194,272563
159433,272563
495338,272563
765595,272563
312890,274637
240665,277059
585896,277059
961234,277059
26520,277572
126782,279315
268990,279315
746731,280897
243008,281225
860080,281225
6310,285232
128495,285232
163420,285232
166291,285232
221844,285232
312890,285232
383889,285232
936095,285232
943827,285232
961234,285232
524522,286572
932665,286572
8828,286639
317865,286639
8828,287407
22348,287407
5501,289599
112789,289599
290502,289599
359326,289599
485135,289599
790820,289599
863790,289599
83194,289685
495338,289685
636433,289685
112789,290502
235169,290502
359326,290502
790820,290502
863790,290502
240665,290853
746731,290853
26520,293969
503602,293969
124492,300578
831215,301619
243008,305363
335747,305363
480086,305363
583618,305363
597965,305363
780581,305363
850693,305363
885375,305363
290502,307102
543595,307102
626463,307102
639056,307102
782768,307102
441,312657
772745,312657
227697,312890
48566,316611
8828,317865
765595,317865
128495,318085
184043,318085
568137,318085
583618,318085
589630,318085
592595,318085
757342,318085
852688,318085
926237,318085
480830,319846
301619,322365
758208,322365
831215,322365
766078,323641
859509,323641
393345,325357
568137,325357
797431,325357
355412,328201
152023,329232
213921,329232
243008,329232
335747,329232
636394,329232
757342,329232
780581,329232
893383,329232
162197,329542
790820,329883
96977,329978
178799,331323
743966,331323
790820,331323
923323,331323
112789,333648
168110,334216
242211,334216
289599,334216
750742,334216
772745,334216
863790,334216
524522,338593
34899,343455
61637,343455
174752,343455
250976,343455
268990,343455
746731,343455
174752,346684
600640,346684
393345,346806
568137,346806
614455,346806
921710,346806
80780,347151
225930,347151
22348,347451
354883,347451
936095,347451
146490,350139
184043,350139
243008,350139
521851,350139
574119,350139
583618,350139
757342,350139
771905,350139
855836,350139
860080,350139
335,355412
326249,355412
393345,361541
575522,361541
775877,361541
184043,366681
574102,366681
583618,366681
743966,366681
757342,366681
771905,366681
804431,366681
852688,366681
855836,366681
893383,366681
317865,367188
780258,367188
1878899,367188
80780,368112
480086,369183
527267,369183
26825,370326
128495,370326
162197,370326
169795,370326
673933,370326
758208,370326
780258,370326
335,374126
194246,374126
932665,374126
240665,376793
381371,376793
46527,380651
806168,380651
521851,380737
21578,382565
154417,382565
50493,382630
305363,382630
771905,383056
37730,383889
105129,383889
120412,383889
128495,383889
270667,383889
543595,383889
745568,383889
128495,385797
153915,385797
575522,385797
792733,385797
796281,385797
926237,385797
961234,385797
169795,386560
758208,386560
803009,386560
112789,387219
123363,387219
219966,387219
290502,387219
124492,389378
808336,389378
317865,390185
611104,390185
673933,390185
888484,390185
956973,390185
29978,390743
184043,390743
243008,390743
739041,390743
860080,390743
943827,390743
13508,391586
214593,391586
240665,391586
290853,391586
687561,391586
775877,391586
26164,392856
762500,392856
121746,397794
203695,397794
243008,400815
943827,400815
748262,402117
180023,404136
923705,404136
780581,404734
26023,405732
480830,405732
863102,405732
225930,406657
932665,406657
213921,413853
387095,413853
899223,413853
953552,413853
359326,414889
480086,419102
527267,419102
660053,419102
120010,428329
217641,428329
575522,428329
485135,448152
124492,450883
147316,450883
203695,450883
765302,450991
568137,451398
780581,453009
149840,459860
326249,459860
355412,459860
126782,460390
240665,460390
740833,460390
863102,460390
740833,461698
124492,467444
611104,469519
628467,469519
673933,469519
780258,469519
1878899,469519
184043,473909
243008,473909
335747,473909
387095,473909
771905,473909
29978,474150
149840,474150
254215,474150
355412,474150
600640,474150
803009,474150
850693,474150
205520,475010
225930,475010
480830,475010
124492,476425
227697,476425
854854,476425
665908,476558
757342,476558
885375,476558
628467,476744
162197,477787
961234,477793
29978,480086
583618,480086
597965,480086
305363,480549
561105,480549
243008,480956
484607,480956
521851,480956
766078,480956
37730,483563
270667,483563
921598,483563
780581,484607
169795,485204
775877,485204
803009,485204
812711,485204
5501,485365
37730,485365
152023,485365
326249,485365
626463,485365
772745,485365
782768,485365
329232,485525
480956,485525
766078,485525
28432,487038
748262,487038
863790,487534
301619,487614
94764,488394
480086,488394
755496,488394
34899,489435
37730,490852
128495,490852
270667,490852
626463,490852
37730,490860
543595,490860
583618,490860
626463,490860
743966,490860
745568,490860
782768,490860
790820,490860
810592,490860
583618,494038
810592,495547
112789,497277
782768,497277
131038,498241
138271,498241
294197,498241
503602,498241
105129,501537
138271,501860
223197,501860
255704,501860
636394,501860
771905,501860
840289,501860
852688,501860
961152,502371
22348,503242
758208,503460
831215,503460
751604,503602
636433,507955
112789,509156
235169,509156
290502,509156
790820,509156
96977,510953
112789,510953
192338,510953
219966,510953
221445,510953
561105,510953
607053,510953
752303,510953
779670,510953
885375,510953
31556,514563
240665,514563
326249,514563
355412,514563
393345,514563
863790,514563
954964,514563
8828,516929
159433,516929
495338,516929
765595,516929
184043,517607
243008,517607
583618,517607
597965,517607
847970,517607
855836,517607
39013,520545
138271,520545
583618,520545
589630,520545
607053,520545
636394,520545
779670,520545
126782,520583
174752,520583
660053,520583
740833,520583
780625,520583
922911,520583
184043,521851
42589,528243
620056,528243
8828,529050
159433,529050
201983,529050
516929,529050
628467,529050
780258,529050
792018,529050
112789,533503
178799,533503
211095,533503
290502,533503
490860,533503
521851,533503
782768,533503
48566,533551
626463,533551
660053,536321
746731,536321
1498,537414
96977,537414
123363,537414
561105,537414
750742,537414
771792,537414
779670,537414
71373,537444
159433,537444
227697,537444
243008,537444
739041,537444
757342,537444
852688,537444
297839,540742
37730,543595
162197,544965
224925,544965
775877,544965
368578,546214
797431,546926
240665,546976
326249,546976
780625,546976
921710,546976
255704,548180
804431,548180
516929,548397
628467,548397
665908,548397
739041,548397
757342,548397
765595,548397
847374,548397
949780,548397
21578,550940
611104,551762
628467,551762
673933,551762
949780,551762
1878899,551762
26520,551872
101415,551872
597239,551872
80780,554804
347151,554804
26520,557191
28432,557191
124492,557191
159433,558954
784814,558954
568137,561037
607053,561105
61637,562144
243008,562144
451296,562144
739041,562144
860080,562144
943827,562144
812388,562615
524522,562850
797431,562850
831215,562850
383889,563390
317865,566138
780258,566138
246169,566448
753833,566448
37730,567153
50251,567153
105129,567153
270667,567153
626463,567153
639056,567153
782768,567153
868616,567153
923323,567153
988627,567153
520583,567769
868616,567769
988627,567769
797431,568137
184043,569600
574102,569600
312890,570155
326249,571258
451296,571258
37730,572327
184043,572327
214593,573391
775877,573391
169795,574035
758208,574035
163570,574102
243008,574102
583618,574102
840289,574102
855836,574102
885375,574102
485135,574119
254215,574143
753833,574143
583618,577358
803009,579037
26520,580300
163570,580300
169795,580300
480830,580300
641709,580300
118979,582463
326249,582463
614455,582463
174752,582629
184043,582629
393345,582629
615304,582629
806168,582629
751604,583618
130764,585574
213921,585574
243008,585574
335747,585574
893383,585574
301619,586798
485525,586843
852688,586843
926237,586843
34899,588246
203695,588246
620056,588246
625278,588246
235169,589630
583618,589630
636394,589630
174752,589767
480086,589767
527267,589767
37730,590483
37730,592161
105129,592161
112789,592161
232598,592161
242211,592161
270667,592161
383889,592161
743966,592161
782768,592161
790820,592161
868616,592161
123363,592595
223197,592595
583618,592595
589630,592595
664346,592595
787702,592595
855836,592595
859509,592595
775877,594113
146490,595768
184043,595768
243008,595768
495288,595768
574102,595768
583618,595768
597965,595768
757342,595768
766078,595768
852688,595768
301619,597736
831215,597736
335,600640
31606,600640
636433,601697
803009,601697
922911,601697
112789,603226
26520,607202
124492,607202
831215,607202
99449,609590
326249,609590
124492,610346
8828,611104
159433,611104
201983,611104
495338,611104
792018,611104
595768,614830
812711,614830
305363,614933
329232,614933
31556,615247
393345,615247
184043,615304
374126,616296
412393,616296
628467,616296
673933,616296
780258,616296
932665,616296
1878899,616296
8549,620056
40230,620056
163570,620056
205520,620056
326249,620056
480086,620056
480830,620056
583618,620056
755496,620056
860080,624190
943827,624190
214593,624282
233147,624282
268990,625278
326249,625278
37730,625731
543595,625731
37730,626463
626463,626939
524522,627026
8828,628467
495338,628467
765595,628467
956973,632986
312890,633358
611104,633358
26520,635425
100659,635425
746731,635425
270667,636433
859509,636511
289685,638632
37730,639056
270667,639056
16132,640208
112789,640208
509156,640208
791734,640208
855232,640208
169795,641709
636433,641709
922911,641709
312890,643543
326249,643682
326249,643755
495338,643755
919603,643755
193342,645956
223197,647156
755745,647156
146490,650362
158656,650362
184043,650362
243008,650362
757342,650362
766078,650362
771905,650362
852688,650362
664346,652192
13508,656541
285232,656541
326249,656541
514563,656541
575522,656541
775877,656541
31606,660053
40294,660053
124492,660053
326249,660053
753833,660053
780625,660053
922911,660053
194039,660244
690456,662225
781766,662225
131038,662416
568137,662416
8549,663645
94764,663645
124492,663645
944293,663645
112789,664346
219966,664346
223197,664346
752303,664346
22348,664457
80780,664457
163570,664457
808336,664457
28432,664770
99449,664770
124492,664770
301619,664770
221445,665860
626463,665860
639056,665860
814871,665860
130764,665908
152023,665908
163570,665908
243008,665908
335747,665908
521851,665908
626463,665908
757342,665908
780581,665908
180023,665945
250976,665945
751604,665945
495338,666073
636433,666244
36468,666623
166291,667584
214593,667584
240665,667584
290853,667584
326249,667584
775877,667584
585574,667657
665908,667657
757342,667657
852688,667657
480086,668222
568137,668222
615304,668222
162197,669194
164686,669194
574102,669194
766078,669194
355412,670226
393345,670226
626463,670226
335747,670734
475334,670734
790820,671204
246169,671452
254215,671452
359326,672835
80780,673933
628467,673933
932665,673933
162197,675500
169795,675500
163420,678098
163420,679749
961234,679749
335,680476
335,681154
26164,681154
46527,681154
355412,681154
762500,681154
797431,681154
521851,686359
636394,686359
750742,686359
766078,686359
771905,686359
780581,686359
112789,691371
589630,691371
863790,691371
26520,696668
22348,701790
808336,701790
575522,711954
614455,711954
746731,711954
46527,716469
58934,716469
326249,716469
343455,716469
758208,717234
628467,720741
750742,721409
287407,721416
312890,721416
628467,721416
158656,722133
243008,722133
574102,722133
757342,722133
852688,722133
886961,722133
123363,722448
561105,722448
120010,723868
239827,723868
961234,723868
120010,724720
124492,724720
163420,724720
112789,726201
235169,726201
589630,726201
1498,726942
159655,726942
175379,726942
382565,726942
561105,726942
771792,726942
36468,727318
146490,727318
243008,727318
305363,727318
329232,727318
400815,727318
574102,727318
585574,727318
595768,727318
757342,727318
812711,727318
852688,727318
628467,729857
780258,729857
166291,733717
301619,733717
524522,733717
305363,736318
329232,736318
521851,736318
757342,736318
766078,736318
765595,737886
225930,739713
240665,739713
863102,739713
184043,741127
589630,741127
855836,741127
180023,741236
7731,743709
359326,743709
414889,743709
37730,743966
543595,743966
626463,743966
745568,743966
782768,743966
37730,745568
626463,745568
48566,746302
383889,746302
961234,746302
751604,748262
31556,748904
393345,748904
793425,748904
954964,748904
184043,749335
585574,749335
757342,749335
782768,749571
790820,749571
112789,750742
235169,750742
359326,750742
863790,750742
221445,750895
317865,751201
347151,751201
751604,752314
636433,752613
147316,752770
225930,752770
797431,752770
543595,752812
639056,752812
782768,752812
128495,753056
164686,753056
850693,753056
852688,753056
180023,753422
6310,753706
36468,753706
146490,753706
184043,753706
243008,753706
626463,753706
636394,753706
757342,753706
771905,753706
852688,753706
855836,753706
301619,753742
374126,753742
758208,753742
250976,753868
575522,753868
746731,753868
254215,755152
921710,755918
37730,756754
149840,756754
326249,756754
130764,757342
335747,757342
805345,757342
124492,758208
301619,758208
831215,758208
176332,758402
243008,758402
37730,758630
475334,759454
899223,759454
780625,760214
31606,760238
451296,760238
620056,760238
803009,760238
123363,760658
589630,760658
885375,760658
24113,762097
37730,762097
184043,762097
270667,762097
355412,762097
639056,762097
782768,762097
8828,762663
611104,762663
628467,762663
780258,762663
956973,762663
5501,762885
374126,762885
383889,762885
585574,762885
757342,762885
772745,762885
775877,762885
932665,762885
949780,762885
124492,765302
480830,765302
575522,765302
636433,765302
758208,765302
803009,765302
8828,765595
159433,765595
176332,765595
495338,765595
130764,766078
243008,766078
583618,766078
215041,766444
568137,766444
746731,766444
176332,766557
1498,767558
491174,767558
213921,768585
863790,768585
885375,768585
326249,769109
831215,769444
268990,771388
575522,771388
746731,771388
922911,771388
50493,771792
112789,771792
219966,771792
561105,771792
607053,771792
779670,771792
243008,771905
112789,772745
359326,772745
863790,772745
287407,774227
312890,774227
317865,774227
628467,774227
240665,775406
355412,775694
797431,775694
860080,775694
13508,775877
149840,775877
164189,775877
240665,775877
257160,775877
326249,775877
355412,775877
393345,775877
575522,775877
793425,775877
954964,775877
48566,776408
583618,778526
329232,778925
574102,778925
766078,778925
852688,778925
751604,778960
193342,779670
124492,780005
8828,780258
99449,780955
326249,780955
748904,780955
775877,780955
22875,782768
37730,782768
105129,782768
270667,782768
543595,782768
626463,782768
639056,782768
814871,782768
414889,784010
26164,784535
762500,784535
893383,784535
31606,784811
107556,784811
803009,784811
863102,784811
105129,787428
194246,787428
289599,787428
301619,787428
806168,787428
863790,787428
932665,787428
162197,787579
257160,787579
863102,787579
790820,787702
180023,789055
294197,789055
5501,789064
80780,790797
406657,790797
932665,790797
178122,791734
235169,791734
863790,791734
8549,793108
758208,793108
803009,793108
28432,793225
326249,793425
393345,793425
301619,793848
301619,794161
152023,794257
335747,794257
1878899,795053
128495,796281
164686,796281
214593,796281
936095,796281
961234,796281
335,797431
543595,798587
690456,798606
301619,798658
124492,800695
215058,802382
521851,802382
335,803009
31606,803009
225930,803009
250976,803009
243008,803115
899223,803115
516929,803469
628467,803469
765595,803469
335747,804431
475334,804431
174752,804516
240665,804516
326249,804516
393345,804516
575522,804516
746731,804516
152023,805225
383889,805225
243008,806168
675710,808336
451296,812476
803009,812476
149840,812711
162197,812711
243008,812711
250976,812711
451296,812711
527267,812711
583618,812711
855836,812711
746731,812802
831215,812802
235169,813946
326249,813946
359326,813946
790820,813946
859509,813946
863790,813946
524522,814387
50251,816844
105129,816844
184043,816844
543595,816844
639056,816844
782768,816844
868616,816844
923323,816844
8549,818702
863102,818702
50251,822910
112789,822910
290502,822910
772745,822910
782768,822910
790820,822910
863790,822910
8828,824406
80780,830890
287407,831733
317571,831733
628467,831733
780258,831733
1878899,831733
152023,837886
485135,837886
169795,839432
347151,839432
374126,839432
758208,839432
932665,839432
26520,840812
246169,844043
146490,844440
393345,844440
568137,844440
26023,845918
26164,845918
26193,845918
29978,845918
480086,845918
850693,845918
863102,845918
83194,847374
285232,847374
516929,847374
628467,847374
765595,847374
855836,847970
138271,850693
451296,850693
527267,850693
583618,850693
751604,850693
243008,852688
335747,852688
451296,852688
583618,852688
832507,852688
855836,852688
301619,853254
257160,854854
37730,855034
178122,855232
235169,855232
359326,855232
810592,855232
583618,855836
13508,857621
257160,857621
326249,857621
393345,857621
575522,857621
748904,857621
775877,857621
7731,857887
11046,859589
225930,859589
495338,859589
932665,859589
243008,860080
751256,860080
921598,860080
128495,860561
162197,860561
326249,860561
383889,860561
490852,860561
574102,860561
639056,860561
746302,860561
775877,860561
860080,860561
936095,860561
335,861057
162197,861057
169795,861057
225930,861057
240665,861057
636433,861057
758208,861057
808336,861057
80780,861687
124492,861687
758208,861687
932665,861687
687561,862343
855619,862343
120010,862761
239827,862761
240665,862761
775877,862761
335,862855
13508,862855
80780,862855
169795,862855
214593,862855
225930,862855
374126,862855
524522,862855
758208,862855
480830,863102
112789,865403
221445,865403
665860,865403
159433,866215
201983,866215
757342,866215
393345,866769
128495,867307
285232,867307
490852,867307
574102,867307
585896,867307
775877,867307
857621,867307
166291,867978
326249,867978
451296,867978
37730,868616
105129,868616
639056,868616
782768,868616
790820,868616
326249,879144
753868,879144
665860,884449
792733,884449
961234,884449
26825,884686
166291,884686
524522,884686
48566,885138
393345,885138
954964,885138
793456,886648
49026,886961
162197,886961
243008,886961
521851,886961
757342,886961
37730,887235
80780,888484
374126,888484
932665,888484
180023,890559
762500,893383
26520,894962
503602,894962
480086,896216
527267,896216
620056,896216
112789,896600
750742,896600
34899,897382
112789,897382
359326,897382
485135,897382
617336,897382
863790,897382
335,911827
169795,911827
803009,911827
765302,913130
37730,913210
790820,913210
214593,915816
21578,915835
159655,915835
159410,916783
243008,916783
583618,916783
852688,916783
26023,918140
61637,918140
243008,918140
254215,918140
467444,918140
583618,920004
852688,920004
859509,920004
885375,920004
221445,922301
8828,922398
159433,922398
792018,922398
5501,922704
589630,922704
592595,922704
746731,922911
832507,923208
22875,923323
37730,923323
48265,923323
105129,923323
152023,923323
184043,923323
270667,923323
383889,923323
490852,923323
543595,923323
626463,923323
639056,923323
814871,923323
926237,923323
250976,923705
326249,923705
748262,923705
751604,923705
159433,923745
516929,923745
765595,923745
949780,923745
112789,924306
285232,924306
290502,924306
782768,924306
863790,924306
37730,926237
128495,926237
184043,926237
80780,927795
185018,929659
583618,929659
31556,932328
355412,932328
797431,932328
335,932665
225930,932665
240665,932665
270667,932665
326249,934305
37730,934367
105129,934367
112789,934367
270667,934367
290502,934367
626463,934367
639056,934367
782768,934367
790820,934367
37730,936095
105129,936095
128495,936095
270667,936095
780625,936095
26520,937150
301619,937150
503602,937150
831215,937150
757342,938798
771792,938798
859509,938798
185999,940246
213921,940246
387095,940246
475334,940246
899223,940246
953552,940246
124492,943827
6310,944293
31606,944293
740833,944293
803009,944293
847374,944700
289685,945951
124492,948625
746731,948625
419102,949204
775877,949579
163570,951375
451296,951375
480830,951375
757342,951589
26520,952786
28432,952786
301619,952786
863102,954592
128495,956088
287407,956973
312890,956973
374126,956973
628467,956973
673933,956973
780258,956973
932665,956973
949780,956973
307102,958087
490860,958087
782768,958087
868616,958087
128495,958444
383889,958444
949780,958444
961234,958444
611104,977198
956973,977198
568137,977209
225930,978359
611104,978359
932665,978359
26193,984877
207290,984877
620056,984877
863102,984877
890559,984877
944293,984877
595768,985076
766078,985076
852688,985076
158656,986573
305363,986573
757342,986573
852688,986573
855836,986573
39013,988307
758208,988448
48566,988529
105129,988627
543595,988627
790820,988627
50251,988655
589630,989528
665908,989528
757342,989528
868616,989528
240665,989540
520583,990366
28432,992751
301619,992751
831215,992751
243008,993302
329232,993302
574102,993302
739041,993302
757342,993302
771905,993302
495338,994823
628467,994823
780258,994823
147316,996075
312890,996096
628467,996096
673933,996096
888484,996096
628467,996127
847374,996127
956973,996127
124492,996141
174752,996141
520583,996795
760214,996795
780258,997568
335,998969
250976,998969
289599,1000302
34899,1000558
943827,1000558
326249,1002017
575522,1002017
863102,1003087
96576,1003907
326249,1003907
923705,1006451
919603,1011101
343455,1011504
919603,1013037
243008,1013109
757342,1013109
852688,1013109
893383,1013109
775877,1013375
6310,1019495
162197,1019495
163570,1019495
574102,1019495
620056,1019495
852688,1019495
42589,1035160
840708,1035160
124492,1036613
516929,1036613
636433,1050323
1878899,1050323
800695,1061166
287407,1061368
312890,1061368
628467,1061368
780258,1061368
1878899,1061368
451296,1072350
740833,1072350
775877,1390230
123363,1393036
175379,1393036
561105,1393036
214593,1405469
775877,1405469
790820,1422105
335,1451327
335,1502854
952786,1502854
775877,1528100
7731,1590871
691371,1590871
750742,1590871
94792,1596642
393345,1630569
863790,1740826
480086,1772438
120010,1814388
221059,1814388
239827,1814388
775877,1814388
374126,1878899
932665,1878899
775877,1944458
164686,1957634
285232,1957634
574102,1957634
757342,1957634
766078,1957634
812711,1957634
852688,1957634
184043,2010336
665908,2010336
757342,2010336
301619,2016362
419102,2031918
919603,2031918
514563,2040645
775877,2040645
852688,2055729
326249,2064609
514563,2064609
758208,2080238
803009,2080238
808336,2080238
710448,2089077
49026,2120504
215058,2120504
335,2124046
952786,2124046
301619,2128228
243008,2129441
943827,2129441
944293,2129441
134051,2133637
301619,2133637
326249,2133637
514563,2133637
775877,2133637
31606,2135629
710448,2135629
26520,2138857
222153,2139934
419102,2139934
625278,2139934
812711,2139934
775877,2142940
312890,2165952
469519,2264745
847374,2264745
243008,2289986
326249,2312742
16132,2370408
7731,2376287
112789,2376287
289599,2376287
290502,2376287
750742,2376287
757342,2397707
568137,2397826
166505,2435745
335,2455573
753868,2455573
589630,2478029
691371,2478029
804431,2478029
159433,2507287
201983,2507287
237773,2507287
628467,2507287
639748,2507287
44776,2508103
169795,2508103
221059,2508103
775877,2508103
932665,2508103
780258,2509942
239827,2515882
159433,2517606
227697,2517606
775877,2517606
495338,2526137
277572,2527840
843995,2527840
312890,2534053
628467,2534053
923745,2534053
312890,2540309
49026,2564904
239827,2571020
37730,2575506
162197,2575506
240665,2575506
326249,2575506
326249,2577980
568137,2577980
48265,2593754
94792,2593754
854854,2593754
8828,2595668
861687,2595668
1878899,2595668
169795,2598627
194246,2598627
326249,2598627
812711,2598627
326249,2620029
419102,2620029
120010,2639628
163420,2639628
214593,2639628
221059,2639628
233136,2639628
792733,2639628
884449,2639628
301619,2674162
628467,2732005
780258,2732005
128873,2742344
808336,2742344
83194,2766592
159433,2766592
201983,2766592
227697,2766592
516929,2766592
765595,2766592
922398,2766592
169795,2784799
240665,2784799
