,1:distance importance,field num,in age field num,in age avg rank,in age follower num,out age follower num,trans field follower num,in age compete,score
13101,1.442348386,38,39,4,0,0,0,1241,0.000105543
13583,1.530192794,2808,163,453.6666667,0,0,0,1413,0.000133335
13755,1.440622762,2808,53,174,0,0,0,991,0.000138602
14329,1.414216115,89,39,25,0,0,0,1104,0.000107473
14699,1.463311711,2808,98,652.3333333,0,0,0,1241,0.00011962
14757,1.517026815,28,37,2,0,0,0,1413,0.000103331
14822,1.506130803,2808,163,585.3333333,0,0,0,1413,0.000129112
14931,1.4850129,677,112,71.33333333,0,0,0,1413,0.000108704
14959,1.42971507,2808,53,270.6666667,0,0,0,991,0.000134847
15405,1.437519195,2808,56,529.6666667,0,0,0,1104,0.000122797
15856,1.432002567,677,145,165.6666667,0,0,0,1527,0.000108606
16227,1.436350679,677,53,13,0,0,0,991,0.000114425
16235,1.425508788,2808,53,305.6666667,0,0,0,991,0.000133524
16925,1.424739306,406,155,12.66666667,0,0,0,706,0.000135148
17021,1.513861543,2808,163,541,0,0,0,1413,0.000130494
17882,1.414234752,162,127,9.666666667,0,0,0,706,0.000130688
18513,1.430909604,406,190,28,0,0,0,1241,0.000125405
18691,1.475336139,2808,163,800.6666667,0,0,0,1413,0.000123028
18828,1.529783147,2808,227,497.6666667,0,0,0,1527,0.00014395
18862,1.433910612,2808,163,1243.666667,0,0,0,1413,0.000114362
19029,1.44291797,2808,98,905.6666667,0,0,0,1241,0.000112521
19133,1.450749749,2808,56,400,0,0,0,1104,0.000127387
19392,1.580330785,2808,163,163.3333333,0,0,0,1413,0.000143778
19831,1.500634734,2808,163,620,0,0,0,1413,0.000128061
19953,1.425472903,677,71,98.33333333,0,0,0,1104,0.000107777
20028,1.433897348,2808,56,582.3333333,0,0,0,1104,0.000121031
20729,1.566977006,2808,163,238,0,0,0,1413,0.000140958
20812,1.484335658,2808,98,454,0,0,0,1241,0.000126232
20919,1.455647541,208,53,89.66666667,0,0,0,1413,9.92E-05
20971,1.430612687,406,190,31.33333333,0,0,0,1241,0.000125244
21008,1.512471028,403,98,26.66666667,0,0,0,1413,0.000107882
21492,1.476643808,2808,163,789.3333333,0,0,0,1413,0.000123321
21670,1.622767212,2808,163,44,0,0,0,1413,0.000148463
22020,1.436968424,406,190,12.33333333,0,0,0,1241,0.000126168
22369,1.464950246,2808,163,908.3333333,0,0,0,1413,0.000120414
22574,1.414214963,23,29,3.666666667,0,0,0,991,0.000111649
22602,1.463019118,2808,163,940,0,0,0,1413,0.000119704
22981,1.454429964,2808,98,761.6666667,0,0,0,1241,0.000116355
23147,1.436227713,406,185,8,0,0,0,1104,0.000127954
23202,1.485764522,208,40,33.66666667,0,0,0,1241,0.000104069
23411,1.422149466,403,79,100,0,0,0,1241,0.000103769
23925,1.446593826,2808,56,436.6666667,0,0,0,1104,0.000126056
23982,1.430310848,101,85,6,0,0,0,1241,0.000108967
24139,1.414240966,2808,53,389,0,0,0,991,0.000130459
24152,1.433171694,2808,53,238,0,0,0,991,0.000136099
24309,1.42888166,141,56,15.33333333,0,0,0,1527,0.000103255
24329,1.487906144,208,53,53.66666667,0,0,0,1413,0.000101331
25142,1.488840496,2808,163,686,0,0,0,1413,0.000126133
25236,1.587811611,2808,163,131.6666667,0,0,0,1413,0.000145001
25965,1.434100788,406,195,19.66666667,0,0,0,1413,0.000125004
26161,1.421198645,81,41,11.66666667,0,0,0,1413,0.000102931
26637,1.480688944,2808,98,474.3333333,0,0,0,1241,0.000125516
27102,1.42329366,2808,53,325.6666667,0,0,0,991,0.000132778
27221,1.582365314,2808,163,153.3333333,0,0,0,1413,0.000144163
28015,1.414221435,406,169,58.33333333,0,0,0,854,0.000129768
28863,1.489710878,2808,227,700,0,0,0,1527,0.00013838
28918,1.422447904,2808,56,721.3333333,0,0,0,1104,0.000116667
29365,1.473789541,2808,98,531,0,0,0,1241,0.000123566
29600,1.519257966,2808,163,516,0,0,0,1413,0.000131292
30250,1.424677573,28,23,1.666666667,0,0,0,706,0.000122843
31158,1.443193847,50,57,2.666666667,0,0,0,1527,0.000104003
31617,1.530074464,2808,227,493.3333333,0,0,0,1527,0.000144078
31697,1.439029565,2808,56,514,0,0,0,1104,0.000123334
31765,1.51859363,2808,163,517.6666667,0,0,0,1413,0.000131238
31823,1.497676625,208,53,39.66666667,0,0,0,1413,0.000102173
31969,1.494587875,2808,163,645.3333333,0,0,0,1413,0.000127309
31971,1.425515859,2808,56,680.6666667,0,0,0,1104,0.000117897
32045,1.433276164,38,39,9,0,0,0,1241,0.000105245
32301,1.540406798,2808,227,429,0,0,0,1527,0.000146026
32333,1.423085781,89,52,40.66666667,0,0,0,1413,0.000101832
32409,1.443333581,2808,163,1146.666667,0,0,0,1413,0.000115767
33481,1.488920748,403,98,52.66666667,0,0,0,1413,0.000106393
33995,1.426981631,677,79,145,0,0,0,1241,0.000102805
34382,1.471883525,2808,56,225.3333333,0,0,0,1104,0.000134053
34867,1.423570364,677,36,24.66666667,0,0,0,854,0.000117843
34880,1.537584811,2808,163,407,0,0,0,1413,0.000134913
36312,1.476323669,403,118,69.33333333,0,0,0,1527,0.000107785
36327,1.453155294,677,112,113,0,0,0,1413,0.000106409
36849,1.424935982,403,60,12,0,0,0,854,0.000118394
37026,1.433371789,403,63,18.33333333,0,0,0,991,0.000113394
37197,1.41421435,162,134,19.33333333,0,0,0,991,0.000120776
37931,1.468026887,2808,98,585.6666667,0,0,0,1241,0.000121747
38321,1.602228207,2808,163,86,0,0,0,1413,0.00014679
39342,1.539010388,2808,163,397.6666667,0,0,0,1413,0.000135234
39406,1.514302421,2808,163,536.3333333,0,0,0,1413,0.000130642
39637,1.453455906,2808,98,769.6666667,0,0,0,1241,0.000116127
40124,1.581986247,2808,163,155.6666667,0,0,0,1413,0.000144073
40648,1.487723004,2808,227,712,0,0,0,1527,0.000138077
41283,1.525415615,2808,163,488.6666667,0,0,0,1413,0.000132179
41462,1.507232408,677,145,44,0,0,0,1527,0.00011498
41976,1.5224013,2808,163,500.3333333,0,0,0,1413,0.000131798
43348,1.448499107,2808,56,420.6666667,0,0,0,1104,0.000126634
44663,1.579395222,2808,227,201.6666667,0,0,0,1527,0.000153503
44998,1.414245299,229,93,67,0,0,0,1413,0.000104366
45287,1.447239693,677,145,137.6666667,0,0,0,1527,0.000110061
45379,1.454063486,406,190,6,0,0,0,1241,0.000126481
45745,1.427980269,81,35,7.333333333,0,0,0,1241,0.000105192
45941,1.42404608,50,56,11.33333333,0,0,0,1413,0.000103837
46429,1.50695771,406,195,2.666666667,0,0,0,1413,0.000125858
46626,1.438152072,403,98,109.3333333,0,0,0,1413,0.000103157
48061,1.5345578,2808,227,466,0,0,0,1527,0.000144896
48126,1.471298635,2808,163,844.6666667,0,0,0,1413,0.000121923
48811,1.563923791,2808,163,253.3333333,0,0,0,1413,0.000140389
48903,1.493094621,677,145,65.33333333,0,0,0,1527,0.000113854
49163,1.434456286,208,40,76.33333333,0,0,0,1241,0.000101537
50588,1.451524136,2808,56,393.6666667,0,0,0,1104,0.000127619
50967,1.509698951,403,118,33.66666667,0,0,0,1527,0.00010978
51230,1.487746899,208,65,55,0,0,0,1527,0.000101726
51603,1.61241568,28,37,1,0,0,0,1413,0.00010343
53204,1.414221256,229,77,24,0,0,0,991,0.000113701
53221,1.442187989,2808,163,1161.666667,0,0,0,1413,0.000115531
53441,1.42317756,23,21,1,0,0,0,706,0.000122836
53606,1.430011674,677,53,35.66666667,0,0,0,991,0.000113201
53916,1.427317489,677,53,41.33333333,0,0,0,991,0.000112896
54982,1.429839287,229,93,41,0,0,0,1413,0.000105868
55778,1.460545623,2808,163,960,0,0,0,1413,0.000119269
55939,1.437350391,406,185,6.333333333,0,0,0,1104,0.000128034
56193,1.530097524,208,53,21,0,0,0,1413,0.000103303
57151,1.560077885,2808,163,271,0,0,0,1413,0.000139739
57205,1.430129155,406,190,36,0,0,0,1241,0.000125017
57577,1.446868776,403,118,95.66666667,0,0,0,1527,0.000106315
57636,1.460252007,208,30,22.33333333,0,0,0,1104,0.000107464
57923,1.41424631,403,60,24.66666667,0,0,0,854,0.000117732
58947,1.453409133,2808,56,372.6666667,0,0,0,1104,0.000128395
59949,1.430227065,677,71,80,0,0,0,1104,0.000108779
59989,1.46588143,2808,163,899,0,0,0,1413,0.000120628
60012,1.463986886,2808,98,638,0,0,0,1241,0.000120069
61041,1.560577453,2808,163,268.3333333,0,0,0,1413,0.000139837
61792,1.451136364,2808,98,803.6666667,0,0,0,1241,0.00011518
61912,1.421754336,403,98,128,0,0,0,1413,0.000102094
62412,1.465842013,677,112,85.33333333,0,0,0,1413,0.000107929
62455,1.447308267,89,39,7.666666667,0,0,0,1104,0.000108477
62609,1.49177636,2808,163,664.6666667,0,0,0,1413,0.000126745
63340,1.536924301,2808,227,452.6666667,0,0,0,1527,0.000145301
64149,1.448165014,2808,98,838,0,0,0,1241,0.000114253
64830,1.41431307,162,131,13,0,0,0,854,0.000125225
65040,1.538948281,2808,163,398.6666667,0,0,0,1413,0.0001352
65620,1.414236534,2808,53,390,0,0,0,991,0.000130423
66514,1.508707149,2808,163,564.6666667,0,0,0,1413,0.000129751
67529,1.47584986,229,93,24.33333333,0,0,0,1413,0.000106844
69805,1.414219164,403,60,30.33333333,0,0,0,854,0.000117437
70586,1.556036503,2808,163,297,0,0,0,1413,0.000138792
70704,1.46079935,141,54,3.333333333,0,0,0,1413,0.000104281
71166,1.487721259,2808,163,697,0,0,0,1413,0.000125821
71636,1.52110185,162,153,2.666666667,0,0,0,1527,0.000116574
72109,1.435577793,2808,98,1006,0,0,0,1241,0.000110192
72861,1.454505749,208,53,91,0,0,0,1413,9.91E-05
72941,1.572546669,2808,227,240.6666667,0,0,0,1527,0.000152158
72998,1.471938379,2808,163,837.3333333,0,0,0,1413,0.000122104
73444,1.482291656,2808,163,734.6666667,0,0,0,1413,0.000124776
73553,1.430247949,2808,53,263.3333333,0,0,0,991,0.000135127
73969,1.540919102,2808,227,426,0,0,0,1527,0.000146119
74005,1.429924414,406,190,37.66666667,0,0,0,1241,0.000124937
74520,1.483994099,2808,163,727,0,0,0,1413,0.000124986
74776,1.433290449,2808,53,235.3333333,0,0,0,991,0.000136202
74952,1.444586028,38,45,3.666666667,0,0,0,1527,0.000103173
75308,1.4470422,2808,98,848.6666667,0,0,0,1241,0.000113972
76788,1.555579477,403,118,7.666666667,0,0,0,1527,0.000111246
77264,1.4642504,2808,98,629.3333333,0,0,0,1241,0.000120342
77578,1.466893551,2808,98,602,0,0,0,1241,0.000121217
77952,1.557376394,2808,227,322.6666667,0,0,0,1527,0.000149413
77963,1.425034734,2808,163,1306,0,0,0,1413,0.000113615
78467,1.462620809,2808,98,660.3333333,0,0,0,1241,0.000119371
79959,1.575233722,2808,163,193,0,0,0,1413,0.000142647
80340,1.51535981,2808,163,531.3333333,0,0,0,1413,0.000130801
80494,1.487849539,2808,163,693.3333333,0,0,0,1413,0.000125925
80609,1.458903442,2808,98,694.6666667,0,0,0,1241,0.000118321
81248,1.482436259,208,53,62.66666667,0,0,0,1413,0.000100791
81739,1.49278671,403,118,52.33333333,0,0,0,1527,0.000108736
81832,1.450014369,2808,56,406.6666667,0,0,0,1104,0.000127143
81841,1.424783964,406,169,24.33333333,0,0,0,854,0.000131337
81849,1.433057531,406,190,20.66666667,0,0,0,1241,0.000125762
82149,1.446264017,677,79,81.33333333,0,0,0,1241,0.000106359
82955,1.419048482,677,53,68.66666667,0,0,0,991,0.000111425
83106,1.414236976,403,60,28.33333333,0,0,0,854,0.000117541
84387,1.516542401,2808,227,562.3333333,0,0,0,1527,0.000142078
84777,1.428111606,2808,98,1093,0,0,0,1241,0.000108417
85271,1.504454593,2808,163,591,0,0,0,1413,0.000128938
86250,1.52943708,2808,227,499.3333333,0,0,0,1527,0.000143901
86828,1.466319319,2808,163,893.6666667,0,0,0,1413,0.000120752
87697,1.453299882,677,145,122.3333333,0,0,0,1527,0.000110861
87741,1.567212458,2808,163,236.3333333,0,0,0,1413,0.00014102
88587,1.440197375,677,145,149.6666667,0,0,0,1527,0.000109437
89071,1.464090824,2808,98,634.6666667,0,0,0,1241,0.000120174
89306,1.440101918,2808,98,943.6666667,0,0,0,1241,0.000111604
89828,1.428994508,406,185,39,0,0,0,1104,0.000126468
89870,1.547214227,2808,227,388,0,0,0,1527,0.000147308
89873,1.467502006,403,98,72.33333333,0,0,0,1413,0.000105267
90174,1.539557503,2808,227,433.6666667,0,0,0,1527,0.000145882
91312,1.440923904,50,56,3.666666667,0,0,0,1413,0.000104302
91549,1.596745836,2808,163,101,0,0,0,1413,0.000146199
91651,1.479656443,2808,227,757.3333333,0,0,0,1527,0.000136962
91763,1.424728766,677,71,99.66666667,0,0,0,1104,0.000107704
91852,1.442101219,81,39,4,0,0,0,1527,0.000102868
92507,1.47840042,2808,163,772,0,0,0,1413,0.000123774
93565,1.511758538,2808,163,548.6666667,0,0,0,1413,0.000130252
93859,1.533073,2808,163,437.6666667,0,0,0,1413,0.000133872
93872,1.443664861,677,112,140.6666667,0,0,0,1413,0.000104894
96679,1.453160195,2808,56,375.6666667,0,0,0,1104,0.000128284
96701,1.452067199,81,41,4,0,0,0,1413,0.000103405
96804,1.434984671,2808,98,1011,0,0,0,1241,0.000110084
97065,1.468768035,2808,163,870.3333333,0,0,0,1413,0.000121302
97200,1.502814376,2808,163,602,0,0,0,1413,0.000128603
97203,1.44205668,403,98,105,0,0,0,1413,0.000103404
97426,1.427000762,406,169,18,0,0,0,854,0.00013163
97509,1.430229829,677,53,34,0,0,0,991,0.000113291
97654,1.437669825,2808,53,193.3333333,0,0,0,991,0.000137839
98361,1.618202854,2808,227,62.33333333,0,0,0,1527,0.000158499
98688,1.497862149,403,98,38.33333333,0,0,0,1413,0.000107212
98707,1.525289644,2808,163,489.6666667,0,0,0,1413,0.000132146
99508,1.585314117,2808,227,168.3333333,0,0,0,1527,0.000154671
99730,1.430535768,229,88,37.66666667,0,0,0,1241,0.000107698
99770,1.49617411,2808,227,664,0,0,0,1527,0.000139307
100197,1.44884105,89,52,21.33333333,0,0,0,1413,0.000103002
100496,1.457815616,2808,98,711,0,0,0,1241,0.000117832
100575,1.453438602,89,52,17.66666667,0,0,0,1413,0.000103224
100840,1.424926181,2808,56,687,0,0,0,1104,0.000117703
101072,1.553180909,2808,227,346.6666667,0,0,0,1527,0.000148631
101575,1.504975941,229,98,11,0,0,0,1527,0.000107808
102750,1.539439749,2808,163,394,0,0,0,1413,0.00013536
102964,1.456944597,2808,163,999.3333333,0,0,0,1413,0.000118447
103460,1.414220951,162,140,20,0,0,0,1104,0.0001186
103600,1.439030802,406,195,13,0,0,0,1413,0.000125331
104217,1.499329771,89,52,10.33333333,0,0,0,1413,0.000103681
104548,1.531008678,2808,163,447.6666667,0,0,0,1413,0.000133535
105329,1.480325121,406,195,3.666666667,0,0,0,1413,0.000125801
105638,1.568337786,2808,227,264.3333333,0,0,0,1527,0.000151355
105685,1.453752442,2808,56,368.6666667,0,0,0,1104,0.000128544
106145,1.563884697,677,112,6.666666667,0,0,0,1413,0.000112297
107753,1.414217551,229,93,70,0,0,0,1413,0.000104193
107950,1.469704867,2808,163,859.6666667,0,0,0,1413,0.000121558
108249,1.449542021,162,152,6.666666667,0,0,0,1413,0.000116541
108283,1.423702118,229,82,31.66666667,0,0,0,1104,0.000110454
108340,1.480832487,2808,227,752.6666667,0,0,0,1527,0.000137075
108774,1.434923214,95,55,10.66666667,0,0,0,1241,0.000106097
109012,1.43295148,2808,53,243.6666667,0,0,0,991,0.000135881
109202,1.452354572,2808,163,1052,0,0,0,1413,0.000117416
109263,1.447942128,2808,163,1098.333333,0,0,0,1413,0.000116575
109542,1.482056182,2808,163,737,0,0,0,1413,0.000124712
109784,1.428448828,2808,251,627.3333333,0,0,0,1338,0.000146585
110011,1.578866877,2808,163,175.3333333,0,0,0,1413,0.000143319
110454,1.431372395,229,93,37,0,0,0,1413,0.000106099
110791,1.627066767,2808,163,38,0,0,0,1413,0.000148705
110792,1.433171694,2808,56,594,0,0,0,1104,0.000120648
110945,1.454373671,677,79,61.66666667,0,0,0,1241,0.000107462
111969,1.442774874,89,52,24.33333333,0,0,0,1413,0.00010282
113082,1.451975108,2808,98,794.3333333,0,0,0,1241,0.000115437
113721,1.432599144,406,200,15.66666667,0,0,0,1527,0.000125929
115079,1.414220853,101,76,6.333333333,0,0,0,706,0.000125346
115140,1.414214963,2808,53,391.6666667,0,0,0,991,0.000130363
116425,1.502399752,2808,227,635.6666667,0,0,0,1527,0.000140058
116465,1.429622379,141,56,10.33333333,0,0,0,1527,0.000103556
117356,1.461672884,677,112,92.66666667,0,0,0,1413,0.000107525
118243,1.452059312,101,85,2.333333333,0,0,0,1241,0.000109183
118503,1.430187349,403,65,48,0,0,0,1104,0.000108571
118665,1.452223606,677,112,116.6666667,0,0,0,1413,0.000106208
118798,1.478457444,2808,227,770,0,0,0,1527,0.000136659
119058,1.492652577,3,14,1,0,0,0,1241,0.000104998
119469,1.452287533,2808,98,785,0,0,0,1241,0.000115696
119655,1.430581564,2808,163,1271,0,0,0,1413,0.000114019
120163,1.508912012,2808,163,562.3333333,0,0,0,1413,0.000129824
120411,1.435012595,2808,53,220,0,0,0,991,0.000136797
121236,1.55174947,2808,227,357,0,0,0,1527,0.000148297
121584,1.434377925,38,32,5,0,0,0,1104,0.000108311
121778,1.527458794,2808,163,477,0,0,0,1413,0.000132562
121863,1.445735971,2808,163,1126.333333,0,0,0,1413,0.000116098
122738,1.43635552,101,85,4.666666667,0,0,0,1241,0.000109045
122795,1.437064455,677,53,11.66666667,0,0,0,991,0.000114497
124881,1.489648801,403,118,56,0,0,0,1527,0.000108531
125088,1.472380363,2808,163,829.3333333,0,0,0,1413,0.000122303
125940,1.526940258,229,93,7.666666667,0,0,0,1413,0.000107824
126168,1.542774711,677,112,11,0,0,0,1413,0.000112049
126287,1.445372602,2808,227,1005,0,0,0,1527,0.000131736
126731,1.537535056,2808,163,408,0,0,0,1413,0.000134879
127898,1.471088849,2808,98,556.3333333,0,0,0,1241,0.000122715
128231,1.438108268,2808,98,960,0,0,0,1241,0.000111223
128244,1.478154861,2808,98,494.3333333,0,0,0,1241,0.00012482
129254,1.436992379,403,118,104.6666667,0,0,0,1527,0.000105814
129551,1.525631611,2808,163,487,0,0,0,1413,0.000132233
129591,1.414220853,677,36,40.66666667,0,0,0,854,0.00011701
129945,1.443057644,403,65,33.66666667,0,0,0,1104,0.000109376
130418,1.426670989,141,54,21,0,0,0,1413,0.00010321
130552,1.436029951,2808,163,1218,0,0,0,1413,0.000114705
130686,1.425723864,406,190,55,0,0,0,1241,0.000124099
130922,1.42855481,38,44,12.33333333,0,0,0,1413,0.000103024
131603,1.42838676,2808,163,1285.666667,0,0,0,1413,0.000113845
132856,1.43324247,677,79,118.6666667,0,0,0,1241,0.000104272
133177,1.504619338,677,79,22.33333333,0,0,0,1241,0.000109684
133420,1.441412944,2808,98,926.6666667,0,0,0,1241,0.000112009
133883,1.429983199,229,93,40,0,0,0,1413,0.000105926
133957,1.463511129,2808,227,884.3333333,0,0,0,1527,0.000134095
133988,1.463537857,50,56,1,0,0,0,1413,0.00010447
135740,1.500703223,2808,227,649,0,0,0,1527,0.000139703
137430,1.440142467,677,79,93.33333333,0,0,0,1241,0.000105687
137904,1.627089722,2808,227,49.66666667,0,0,0,1527,0.000158969
137980,1.440299081,2808,98,937.3333333,0,0,0,1241,0.000111754
138235,1.425225762,2808,163,1304.666667,0,0,0,1413,0.00011363
138335,1.430428645,677,53,33,0,0,0,991,0.000113345
139212,1.60822908,2808,227,87.66666667,0,0,0,1527,0.000157569
139475,1.429740653,229,88,40.33333333,0,0,0,1241,0.000107547
139566,1.429935798,406,169,9,0,0,0,854,0.000132048
139655,1.44545815,2808,56,455,0,0,0,1104,0.0001254
141683,1.529791554,2808,227,496.6666667,0,0,0,1527,0.00014398
141774,1.452400539,406,190,7.666666667,0,0,0,1241,0.000126399
141893,1.501783781,2808,227,643.6666667,0,0,0,1527,0.000139844
142963,1.445860566,2808,98,868.6666667,0,0,0,1241,0.000113453
143490,1.431839113,38,45,7.333333333,0,0,0,1527,0.000102946
143781,1.445919439,2808,98,866.6666667,0,0,0,1241,0.000113504
144629,1.434796771,2808,53,221.3333333,0,0,0,991,0.000136745
145489,1.414226882,406,195,60,0,0,0,1413,0.000123034
146478,1.456031897,2808,98,737.3333333,0,0,0,1241,0.000117056
146755,1.44607881,2808,98,860.6666667,0,0,0,1241,0.000113659
147306,1.423540267,403,65,56.33333333,0,0,0,1104,0.000108103
147468,1.549109875,2808,227,374.6666667,0,0,0,1527,0.000147732
147785,1.585300439,2808,163,143.3333333,0,0,0,1413,0.000144549
148004,1.480892829,2808,227,751.6666667,0,0,0,1527,0.000137099
148227,1.561348028,2808,163,266,0,0,0,1413,0.000139923
149102,1.517360988,2808,163,525.6666667,0,0,0,1413,0.000130982
150181,1.435112848,2808,56,569,0,0,0,1104,0.000121473
151240,1.429068765,406,185,38,0,0,0,1104,0.000126516
151504,1.591692464,2808,227,139.3333333,0,0,0,1527,0.000155701
152384,1.528139264,2808,98,273.6666667,0,0,0,1241,0.000132917
153103,1.441186557,2808,56,495.3333333,0,0,0,1104,0.00012398
153129,1.463139681,677,79,50,0,0,0,1241,0.000108118
153630,1.466822558,2808,163,888,0,0,0,1413,0.000120884
153933,1.436907985,2808,53,202,0,0,0,991,0.000137499
154297,1.623497806,2808,227,54,0,0,0,1527,0.000158808
154822,1.486012186,2808,163,712,0,0,0,1413,0.000125401
155091,1.538610098,2808,163,400.6666667,0,0,0,1413,0.000135131
155170,1.470963641,89,52,14.33333333,0,0,0,1413,0.00010343
155801,1.43700861,2808,56,538.3333333,0,0,0,1104,0.000122503
156122,1.479280728,2808,163,760,0,0,0,1413,0.000124092
156484,1.571313584,2808,163,218.6666667,0,0,0,1413,0.00014168
156749,1.447544891,403,118,94,0,0,0,1527,0.000106408
156950,1.485025467,403,98,58.33333333,0,0,0,1413,0.000106069
157063,1.432257043,677,71,66.33333333,0,0,0,1104,0.000109526
157377,1.43505217,38,39,7.333333333,0,0,0,1241,0.000105344
158018,1.539046416,2808,163,396.6666667,0,0,0,1413,0.000135268
158765,1.455686289,2808,98,744,0,0,0,1241,0.000116863
160742,1.421344513,162,152,14.33333333,0,0,0,1413,0.000116126
161436,1.432831015,141,51,7,0,0,0,1241,0.000106107
161637,1.424779166,406,169,25.33333333,0,0,0,854,0.00013129
162265,1.436248898,229,88,31.33333333,0,0,0,1241,0.000108059
162794,1.428176129,81,29,5.333333333,0,0,0,1104,0.000108214
162943,1.508695731,2808,227,596,0,0,0,1527,0.000141136
163059,1.528063394,2808,227,510.6666667,0,0,0,1527,0.000143567
163213,1.490343545,677,112,60,0,0,0,1413,0.000109329
163435,1.482461185,229,88,17.33333333,0,0,0,1241,0.000108869
163977,1.444872805,677,79,85.33333333,0,0,0,1241,0.000106135
164175,1.47924693,2808,163,761,0,0,0,1413,0.000124066
164504,1.47570131,2808,227,792.3333333,0,0,0,1527,0.000136134
165076,1.527914372,2808,98,276.3333333,0,0,0,1241,0.000132814
165077,1.551472509,89,52,5.666666667,0,0,0,1413,0.000103981
165117,1.495078514,677,79,29,0,0,0,1241,0.000109307
165354,1.446768536,2808,98,852.3333333,0,0,0,1241,0.000113876
165652,1.566036377,2808,163,244,0,0,0,1413,0.000140735
166025,1.4142408,406,155,33.33333333,0,0,0,706,0.000134214
166033,1.515610219,229,88,9,0,0,0,1241,0.000109354
167762,1.541619241,2808,163,382,0,0,0,1413,0.000135776
168126,1.614892814,2808,163,56,0,0,0,1413,0.000147982
169088,1.421851725,677,71,111.3333333,0,0,0,1104,0.000107068
169189,1.479298317,2808,163,759,0,0,0,1413,0.000124119
169818,1.454034338,677,112,109,0,0,0,1413,0.000106628
169948,1.430215149,406,185,28.66666667,0,0,0,1104,0.000126962
170214,1.423050198,23,26,2,0,0,0,854,0.000116612
170758,1.499389045,2808,163,626.6666667,0,0,0,1413,0.000127862
171015,1.43341622,406,190,19.66666667,0,0,0,1241,0.00012581
171220,1.432621282,406,185,14,0,0,0,1104,0.000127665
171726,1.423702118,229,88,52.33333333,0,0,0,1241,0.000106865
171854,1.554000782,141,56,1,0,0,0,1527,0.000104162
171889,1.438036532,141,54,6,0,0,0,1413,0.000104113
172205,1.532745371,2808,163,441.6666667,0,0,0,1413,0.000133737
172770,1.414229194,403,63,49.33333333,0,0,0,991,0.000111707
173007,1.423074715,406,169,31,0,0,0,854,0.000131028
173647,1.4460102,2808,56,444.3333333,0,0,0,1104,0.000125781
174007,1.485000698,2808,98,448.6666667,0,0,0,1241,0.000126421
174198,1.477240274,2808,163,783,0,0,0,1413,0.000123485
174506,1.423167569,406,178,43.33333333,0,0,0,991,0.000127776
175049,1.473496532,2808,98,533.3333333,0,0,0,1241,0.000123487
175459,1.538010176,2808,163,404.3333333,0,0,0,1413,0.000135005
175525,1.578762776,2808,227,206.6666667,0,0,0,1527,0.000153329
175538,1.425860765,677,71,96.33333333,0,0,0,1104,0.000107886
175579,1.647575832,2808,163,27.33333333,0,0,0,1413,0.000149139
175992,1.5329865,2808,163,439.3333333,0,0,0,1413,0.000133815
176083,1.419646783,406,195,54.66666667,0,0,0,1413,0.000123294
176148,1.414253613,403,65,80.33333333,0,0,0,1104,0.000106762
176859,1.429982507,406,178,17.66666667,0,0,0,991,0.00012899
177117,1.487266577,2808,98,436.3333333,0,0,0,1241,0.00012686
177336,1.535092176,2808,227,462.3333333,0,0,0,1527,0.000145007
177372,1.427232764,229,93,46.66666667,0,0,0,1413,0.000105541
177856,1.487794337,229,93,16.66666667,0,0,0,1413,0.000107291
