,Unnamed: 0,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),genre,cluster
35,28,"[""Anita O'Day""]",479028,0.53,0.273,0.629,103.756,-15.494,1,8,0.892,0.0,0.329,0.115,0,142333,17,1959,1/1/1959,I Get A Kick Out Of You,Vocal,0
36,29,"[""Anita O'Day""]",479028,0.49,0.512,0.805,167.967,-13.115,1,8,0.7490000000000001,8.740000000000001e-05,0.235,0.095,0,160307,13,1957,1/1/1957,Them There Eyes,Vocal,0
37,30,"[""Anita O'Day""]",479028,0.6990000000000001,0.147,0.4370000000000001,116.689,-16.751,1,7,0.8809999999999999,0.0,0.128,0.0501,0,220640,14,1957,1/1/1957,We'll Be Together *****,Vocal,0
38,31,"[""Anita O'Day""]",479028,0.574,0.131,0.66,130.925,-16.161,0,11,0.789,0.0,0.222,0.123,0,185440,14,1958,1/1/1958,Frenesi,Vocal,0
39,32,"[""Anita O'Day""]",479028,0.508,0.371,0.733,124.116,-11.54,1,1,0.5,0.0,0.345,0.0954,0,111933,10,1960,1/1/1960,Have You Met Miss Jones,Vocal,0
40,115,"[""Boys Don't Cry""]",80609,0.7490000000000001,0.626,0.77,142.565,-12.426,1,0,0.0115,0.5670000000000001,0.0558,0.0393,0,366133,41,1985,1985,I Wanna Be A ******,Pop/Rock,1
41,116,"[""Boys Don't Cry""]",80609,0.7190000000000001,0.797,0.637,142.567,-6.988,1,0,0.00762,0.312,0.0993,0.0351,0,242893,29,1985,1985,I Wanna Be A ****** - **** Remaster,Pop/Rock,1
42,118,"[""Cap'n Jazz""]",654543,0.299,0.9129999999999999,0.156,101.059,-7.645,1,9,0.00158,0.00331,0.122,0.0598,0,236560,38,1998,1/8/1998,Little League,Pop/Rock,2
43,119,"[""Cap'n Jazz""]",654543,0.4370000000000001,0.703,0.524,93.134,-6.957999999999999,0,6,0.00104,0.000719,0.0857,0.0376,0,183173,37,1998,1/8/1998,Take On Me,Pop/Rock,2
44,120,"[""Cap'n Jazz""]",654543,0.472,0.907,0.376,107.294,-6.386,1,7,0.000691,0.000532,0.102,0.0545,0,122880,41,1998,1/8/1998,Oh Messy Life,Pop/Rock,2
45,121,"[""Cherry Poppin' Daddies""]",775588,0.537,0.9009999999999999,0.818,107.265,-8.301,1,0,0.0373,0.00152,0.0689,0.0819,0,220000,31,1990,1990,Dr. Bones,Pop/Rock,1
46,122,"[""Cherry Poppin' Daddies""]",775588,0.568,0.706,0.8959999999999999,184.126,-8.679,0,8,0.175,0.0,0.157,0.0837,0,233039,47,1997,3/18/1997,Zoot Suit Riot,Pop/Rock,2
47,200,"[""Enuff Z'nuff""]",741512,0.373,0.884,0.28,130.099,-7.707000000000001,1,4,0.00409,0.0,0.329,0.0421,0,257920,37,1989,8/18/1989,New Thing,Pop/Rock,1
48,201,"[""Flamin' Groovies""]",180263,0.495,0.632,0.376,137.105,-12.941,1,8,0.0254,0.0332,0.237,0.0404,0,273307,35,1989,1989,Shake **** Action,Pop/Rock,1
49,202,"[""Flamin' Groovies""]",180263,0.621,0.843,0.7829999999999999,117.92,-8.565,0,1,0.0307,2.29e-06,0.133,0.0298,0,150146,29,1976,1976,Yes It's True,Pop/Rock,1
50,203,"[""Flamin' Groovies""]",180263,0.631,0.593,0.58,128.47,-11.485,1,5,0.0866,0.122,0.374,0.0444,0,252347,29,1989,1989,Don't Put Me On,Pop/Rock,1
51,204,"[""Flamin' Groovies""]",180263,0.5539999999999999,0.97,0.551,117.123,-3.919,1,9,0.226,0.00478,0.11,0.0511,0,171867,24,1971,1971,Teenage Head,Pop/Rock,0
52,205,"[""Flamin' Groovies""]",180263,0.364,0.657,0.515,107.101,-9.073,1,7,0.00355,0.000378,0.338,0.0407,0,140786,24,1976,1976,*********,Pop/Rock,1
53,206,"[""Flamin' Groovies""]",180263,0.481,0.6709999999999999,0.369,125.646,-11.527,1,2,0.0798,0.0,0.286,0.0509,0,172706,24,1976,1976,You Tore Me Down,Pop/Rock,1
54,207,"[""Flamin' Groovies""]",180263,0.495,0.632,0.376,137.105,-12.941,1,8,0.0254,0.0332,0.237,0.0404,0,273307,48,1976,1976,Shake **** Action,Pop/Rock,1
55,208,"[""Flamin' Groovies""]",180263,0.403,0.7759999999999999,0.348,149.119,-4.553999999999999,0,4,0.376,6.99e-05,0.104,0.0366,0,286840,44,1971,1971,Whiskey Woman,Pop/Rock,1
56,209,"[""Flamin' Groovies""]",180263,0.459,0.8290000000000001,0.404,146.843,-9.974,1,2,0.00376,2.49e-06,0.11,0.0662,0,263733,44,1989,1989,Slow Death,Pop/Rock,1
57,210,"[""Flamin' Groovies""]",180263,0.614,0.79,0.9229999999999999,101.937,-3.867,1,4,0.0703,0.0012,0.0633,0.0321,0,237867,33,1971,1971,*********** Numbers,Pop/Rock,1
58,211,"[""Fun Lovin' Criminals""]",800695,0.752,0.6809999999999999,0.713,95.8,-7.397,0,11,0.0676,0.382,0.174,0.0298,0,193147,47,1996,2/20/1996,The Fun Lovin' Criminal,Pop/Rock,2
59,212,"[""Fun Lovin' Criminals""]",800695,0.76,0.5770000000000001,0.293,104.61,-7.899,1,2,0.0139,0.0306,0.0745,0.0339,1,184000,55,1996,2/20/1996,Scooby Snacks,Pop/Rock,2
60,117,"[""Caedmon's Call""]",942624,0.545,0.464,0.643,82.015,-11.483,1,8,0.5760000000000001,8.740000000000001e-05,0.126,0.031,0,281400,40,1999,1999,Faith My Eyes,Religious,2
61,3718,['Michelle Williams'],398020,0.265,0.312,0.0998,54.747,-11.689,1,7,0.243,0.0,0.0893,0.0569,0,269453,75,2017,12/8/2017,A Million Dreams,Religious,2
62,3719,['Michelle Williams'],398020,0.351,0.331,0.191,161.564,-10.316,1,9,0.3,9.14e-06,0.0919,0.0382,0,234360,69,2017,12/8/2017,Tightrope,Religious,2
63,4329,"['Passion', 'Chris Tomlin']",155170,0.181,0.4320000000000001,0.159,68.32600000000001,-8.922,1,11,0.545,0.0,0.965,0.0387,0,274814,48,2011,3/4/2011,"Lord, I Need You - Live",Religious,2
64,4330,"['Passion', 'Chris Tomlin']",155170,0.337,0.418,0.305,131.985,-10.758,1,4,0.101,0.0,0.395,0.034,0,574973,38,2000,10/12/2000,You Are My King (Amazing Love) - Live,Religious,2
65,4377,['Passion'],155170,0.301,0.762,0.223,161.864,-3.392,1,7,0.0919,0.0,0.0822,0.0402,0,254373,51,2015,4/28/2015,Even So Come - Radio Version/Live,Religious,2
66,4378,['Passion'],155170,0.428,0.73,0.161,147.976,-4.435,1,11,0.00497,0.0,0.244,0.0286,0,239613,54,2012,1/1/2012,One Thing Remains,Religious,2
67,4379,['Passion'],155170,0.3779999999999999,0.596,0.172,135.968,-5.406000000000001,1,5,0.0182,1.14e-05,0.144,0.0323,0,339493,58,2013,1/1/2013,In Christ Alone - Live,Religious,2
68,4380,['Passion'],155170,0.317,0.562,0.218,76.915,-8.719,1,11,0.0925,0.0,0.893,0.0343,0,327400,48,2006,1/1/2006,Jesus Paid It All,Religious,2
69,4381,['Passion'],155170,0.49,0.805,0.166,109.951,-4.578,1,2,0.00289,3.19e-06,0.141,0.0424,0,298520,62,2017,2/17/2017,Glorious Day - Live,Religious,2
70,4385,['Skillet'],749571,0.431,0.9079999999999999,0.317,172.164,-3.732,0,11,0.00466,0.0,0.0693,0.0388,0,204787,50,2009,8/24/2009,"It's Not Me, It's You",Religious,2
71,4386,['Skillet'],749571,0.64,0.9570000000000001,0.6920000000000001,134.992,-2.336,1,8,0.0431,0.0,0.0789,0.0741,0,178013,60,2009,8/24/2009,Monster,Religious,2
72,4387,['Skillet'],749571,0.629,0.9329999999999999,0.589,127.0,-3.051,1,8,0.00389,0.0,0.114,0.0693,0,190360,55,2013,6/21/2013,Sick of It,Religious,2
73,4388,['Skillet'],749571,0.351,0.9440000000000001,0.428,187.736,-3.71,1,5,0.000249,0.00218,0.0678,0.12,0,252453,45,2003,11/18/2003,Forsaken,Religious,2
74,4389,['Skillet'],749571,0.394,0.878,0.5920000000000001,176.173,-3.418,1,2,0.000284,0.0,0.0583,0.0696,0,237733,46,2006,10/3/2006,Better Than Drugs,Religious,2
75,4390,['Skillet'],749571,0.5329999999999999,0.9670000000000001,0.782,142.018,-2.543,1,1,0.007909999999999999,0.0,0.336,0.0995,0,186813,58,2009,8/24/2009,Hero,Religious,2
76,4391,['Skillet'],749571,0.4970000000000001,0.8190000000000001,0.276,126.002,-4.352,1,8,0.151,0.0,0.108,0.0424,0,252280,49,2009,8/24/2009,Would It Matter,Religious,2
77,4392,['Skillet'],749571,0.384,0.909,0.457,159.999,-3.706,0,11,0.00151,0.0,0.331,0.0568,0,176707,48,2009,8/24/2009,Dead Inside,Religious,2
78,4393,['Skillet'],749571,0.5710000000000001,0.9670000000000001,0.7120000000000001,161.962,-3.717,1,9,0.00642,5.8e-06,0.227,0.0716,0,213587,60,2016,8/5/2016,Back from the Dead,Religious,2
79,4394,['Skillet'],749571,0.383,0.722,0.227,152.017,-3.534,1,2,0.0149,0.0,0.237,0.0283,0,221267,46,2006,10/3/2006,Yours to Hold,Religious,2
80,345,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']",276085,0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,Blues,1
81,346,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']",276085,0.57,0.8370000000000001,0.737,100.131,-7.053999999999999,0,11,0.144,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,Blues,1
82,347,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']",276085,0.547,0.561,0.551,139.13,-7.339,1,2,0.413,7.5e-06,0.201,0.0287,0,182277,27,1971,8/1/1971,What A Woman,Blues,1
83,348,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']",276085,0.505,0.5670000000000001,0.591,117.984,-8.942,1,2,0.0535,0.00263,0.391,0.0371,0,239444,35,1971,8/1/1971,Red Rooster,Blues,1
84,349,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']",276085,0.624,0.792,0.792,116.583,-7.567,1,7,0.298,0.00028,0.113,0.0427,0,223947,33,1971,8/1/1971,Rockin' Daddy,Blues,1
85,350,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']",276085,0.705,0.722,0.753,120.81,-8.638,1,9,0.177,1.68e-05,0.172,0.0504,0,270173,24,1971,8/1/1971,**** Dang Doodle,Blues,0
86,351,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']",276085,0.593,0.8640000000000001,0.785,96.361,-7.829,1,7,0.0607,0.00028,0.114,0.032,0,210827,40,1971,8/1/1971,I Ain't *************,Blues,1
87,352,"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']",276085,0.325,0.539,0.389,184.891,-8.315,1,4,0.105,0.014,0.282,0.0369,0,230853,37,1971,8/1/1971,Sitting On Top Of The World,Blues,1
88,353,"[""Howlin' Wolf""]",276085,0.6920000000000001,0.605,0.8420000000000001,82.96600000000001,-10.439,0,2,0.502,0.000637,0.114,0.0869,0,156733,24,1966,1/11/1966,Poor Boy,Blues,0
89,354,"[""Howlin' Wolf""]",276085,0.511,0.416,0.588,114.083,-14.205,1,4,0.264,6.03e-05,0.0817,0.05400000000000001,0,174093,26,1967,1/1/1967,I'm The Wolf,Blues,0
90,355,"[""Howlin' Wolf""]",276085,0.439,0.337,0.7,180.211,-12.681,1,5,0.912,0.00852,0.224,0.0548,0,133907,20,1966,1/11/1966,The Natchez Burnin',Blues,0
91,356,"[""Howlin' Wolf""]",276085,0.37,0.532,0.526,138.102,-12.159,1,0,0.599,0.0,0.154,0.0319,0,155133,20,1966,1/11/1966,My Country Sugar Mama,Blues,0
92,357,"[""Howlin' Wolf""]",276085,0.585,0.638,0.6809999999999999,133.063,-11.192,1,7,0.525,0.0142,0.104,0.0472,0,191640,23,1967,1/1/1967,You Can't Be Beat - Single Version,Blues,0
93,358,"[""Howlin' Wolf""]",276085,0.5760000000000001,0.4429999999999999,0.7559999999999999,111.162,-10.625,1,0,0.094,0.0,0.197,0.0282,0,168107,18,1966,1/11/1966,Tell Me What I've Done,Blues,0
94,359,"[""Howlin' Wolf""]",276085,0.662,0.6,0.8009999999999999,120.448,-9.33,1,2,0.213,8.759999999999999e-05,0.0994,0.0361,0,161160,18,1966,1/11/1966,Ooh Baby (Hold Me),Blues,0
95,360,"[""Howlin' Wolf""]",276085,0.556,0.433,0.5429999999999999,110.964,-11.076,1,2,0.9740000000000001,0.846,0.147,0.0601,0,176760,22,1967,1/1/1967,I've Got A Woman,Blues,0
96,361,"[""Howlin' Wolf""]",276085,0.6709999999999999,0.629,0.8909999999999999,121.036,-12.998,1,2,0.57,0.0011,0.319,0.0445,0,154533,21,1967,1/1/1967,I Have A Little **** - Single Version,Blues,0
97,362,"[""Howlin' Wolf""]",276085,0.684,0.544,0.8220000000000001,90.12200000000001,-10.992,1,9,0.632,0.000449,0.203,0.0296,0,231933,23,1969,11/4/1969,********,Blues,0
98,363,"[""Howlin' Wolf""]",276085,0.685,0.24,0.7829999999999999,138.788,-15.804,0,7,0.92,1.56e-05,0.111,0.0409,0,170867,20,1975,1/1/1975,I Ain't ************* - Single Version,Blues,0
99,364,"[""Howlin' Wolf""]",276085,0.6609999999999999,0.342,0.588,146.118,-16.361,0,9,0.8440000000000001,0.000128,0.26,0.043,0,188400,59,1958,3/1/1958,Smokestack Lightnin',Blues,1
100,396,"[""Jamie O'Neal""]",808003,0.493,0.735,0.626,164.059,-6.012,1,1,0.0771,0.0,0.107,0.0432,0,221425,42,2005,1/1/2005,********** Hero,Country,2
101,397,"[""Jamie O'Neal""]",808003,0.467,0.619,0.346,167.907,-6.046,0,8,0.216,0.0,0.0886,0.0345,0,236107,44,2000,1/1/2000,There Is No Arizona,Country,2
102,398,"[""Jamie O'Neal""]",808003,0.507,0.843,0.504,193.708,-3.421,1,11,0.274,0.0,0.295,0.108,0,182613,40,2000,1/1/2000,When I Think About Angels,Country,2
103,493,"[""Mark O'Connor""]",293391,0.0827,0.0184,0.0691,81.885,-29.09,1,2,0.915,0.27,0.173,0.0479,0,347693,5,1945,1945,Appalachia Waltz,Country,0
104,494,"[""Mark O'Connor""]",293391,0.5589999999999999,0.5820000000000001,0.871,137.033,-13.48,0,4,0.331,0.00113,0.261,0.0415,0,253227,39,1993,9/10/1993,The Devil Comes Back to Georgia,Country,1
105,793,"[""Tim O'Brien""]",593129,0.534,0.502,0.9,172.724,-9.062999999999999,1,7,0.773,0.0,0.122,0.0357,0,216587,44,2005,2005,Long Time Gone,Country,2
106,940,['Wade Bowen'],812239,0.53,0.556,0.424,80.954,-5.083,1,7,0.0957,0.000207,0.102,0.0255,0,400840,40,2006,2/21/2006,Mood Ring,Country,2
107,941,['Wade Bowen'],812239,0.624,0.86,0.631,114.049,-6.101,1,4,0.00556,0.0,0.223,0.032,0,208440,45,2012,5/28/2012,******** *****,Country,2
108,942,['Wade Bowen'],812239,0.37,0.636,0.371,147.707,-6.587000000000001,1,0,0.004370000000000001,0.0,0.08199999999999999,0.0331,0,255145,47,2014,10/28/2014,West Texas Rain,Country,2
109,943,['Wade Bowen'],812239,0.573,0.6809999999999999,0.448,122.45,-4.2,1,9,0.2,0.0,0.941,0.0277,0,275107,53,2003,7/9/2003,Who I Am,Country,2
110,1003,['Dick Curless'],821252,0.7040000000000001,0.615,0.74,110.084,-9.638,1,0,0.79,0.0,0.235,0.0347,0,183027,33,1965,2/2/1965,A Tombstone Every Mile,Country,1
111,1187,['Jack Ingram'],98688,0.5820000000000001,0.9079999999999999,0.5770000000000001,116.986,-5.641,1,7,0.0004059999999999999,0.0012,0.371,0.0481,0,210493,40,2009,1/1/2009,******** And Crazy,Country,2
112,1675,['Sheb Wooley'],11242,0.643,0.617,0.8809999999999999,157.748,-5.006,1,9,0.823,0.0,0.33,0.0801,0,137960,39,1997,1/1/1997,The Purple People Eater,Country,2
113,1823,['Tracy Byrd'],11052,0.759,0.723,0.9620000000000001,136.746,-9.315,1,0,0.173,0.0,0.179,0.028,0,181973,65,1994,1/1/1994,Watermelon Crawl,Country,2
114,1824,['Tracy Byrd'],11052,0.583,0.276,0.0486,78.079,-12.912,1,2,0.47,0.0,0.143,0.0264,0,247627,60,1994,1/1/1994,The Keeper Of The Stars,Country,2
115,1825,['Tracy Byrd'],11052,0.687,0.898,0.9520000000000001,129.542,-3.93,1,2,0.206,0.0,0.284,0.042,0,213973,59,1998,1/1/1998,I'm From The Country - Single Version,Country,2
116,1826,['Tracy Byrd'],11052,0.6809999999999999,0.8640000000000001,0.9309999999999999,127.079,-7.839,1,2,0.00504,0.0,0.212,0.0347,0,182453,62,2001,7/23/2001,Ten Rounds with Jose Cuervo - ****** Mix,Country,2
117,1827,['Tracy Byrd'],11052,0.77,0.833,0.9640000000000001,109.928,-4.536,1,5,0.0793,0.0,0.0819,0.028,0,131867,62,2003,1/1/2003,Drinkin' Bone,Country,2
118,1828,['Tracy Byrd'],11052,0.634,0.685,0.946,131.223,-8.001,1,10,0.283,2.06e-05,0.0809,0.0253,0,208747,46,1996,1/1/1996,Don't Take Her ***** All I Got,Country,2
119,1829,['Tracy Byrd'],11052,0.52,0.481,0.216,78.015,-7.479,1,2,0.314,0.0007570000000000001,0.087,0.0239,0,261453,49,2001,7/23/2001,Keeper Of The Stars - Bonus Track,Country,2
120,501,"[""N'Dea Davenport""]",935117,0.782,0.613,0.634,92.069,-11.451,0,6,0.0985,0.000472,0.084,0.0864,0,243267,42,1993,1/1/1993,When You're Near,Jazz,1
121,525,"[""Paquito D'Rivera""]",14263,0.5529999999999999,0.638,0.4429999999999999,96.09200000000001,-8.383,1,10,0.6579999999999999,0.8390000000000001,0.141,0.031,0,291457,33,1981,1981,C贸mo Fue,Jazz,1
122,871,['Blue Mitchell'],761064,0.635,0.654,0.755,114.137,-8.914,0,0,0.61,0.35,0.103,0.0291,0,338200,29,1968,12/8/1968,Good Humor Man,Jazz,1
123,1184,['Dick Hyman'],211424,0.293,0.133,0.241,99.546,-18.944,1,7,0.545,0.00296,0.298,0.0336,0,172507,33,1988,1/1/1988,"(In Bobo's Restaurant) Canzone Per Loretta / Addio, Mulberry Street",Jazz,1
124,1185,['Dick Hyman'],211424,0.348,0.659,0.386,126.428,-8.235,0,5,0.687,0.9159999999999999,0.128,0.0453,0,139004,7,1960,9/6/1960,Caravan,Jazz,0
125,1186,['Dick Hyman'],211424,0.287,0.127,0.215,85.55799999999999,-18.183,1,9,0.9440000000000001,0.433,0.423,0.0383,0,267640,45,1988,1/1/1988,Musetta's Waltz,Jazz,1
126,1341,"['Fats Navarro', 'Ralph Burns']",792175,0.47,0.711,0.7090000000000001,139.774,-11.233,0,0,0.977,0.9470000000000001,0.5920000000000001,0.19,0,450096,0,1947,10/17/1947,Sweet Georgia *****,Jazz,0
127,1342,"['Fats Navarro', 'Ralph Burns']",792175,0.479,0.436,0.713,91.1,-12.515,1,10,0.985,0.968,0.258,0.165,0,485111,0,1947,10/17/1947,High on an Open Mike,Jazz,0
128,1343,['Fats Navarro'],792175,0.7290000000000001,0.273,0.758,78.745,-10.476,1,7,0.9079999999999999,0.000687,0.0783,0.0772,0,165418,7,1958,1/1/1958,Nostalgia,Jazz,0
129,1344,['Fats Navarro'],792175,0.762,0.44,0.784,122.605,-8.435,1,5,0.8909999999999999,0.682,0.107,0.179,0,171919,5,1958,1/1/1958,**** *****,Jazz,0
130,1345,['Fats Navarro'],792175,0.348,0.467,0.7170000000000001,176.542,-9.094,1,0,0.8109999999999999,0.000321,0.0463,0.0395,0,171123,27,1951,1/1/1951,Lady Bird,Jazz,0
131,1346,['Fats Navarro'],792175,0.427,0.5660000000000001,0.861,77.832,-10.309,1,7,0.823,0.226,0.4429999999999999,0.0911,0,171465,6,1951,1/1/1951,**** Street Theme,Jazz,0
